State,state_FIPS,county_FIPS,Count,classfp
MI,26,1,Alcona County,H1
MI,26,3,Alger County,H1
MI,26,5,Allegan County,H1
MI,26,7,Alpena County,H1
MI,26,9,Antrim County,H1
MI,26,11,Arenac County,H1
MI,26,13,Baraga County,H1
MI,26,15,Barry County,H1
MI,26,17,Bay County,H1
MI,26,19,Benzie County,H1
MI,26,21,Berrien County,H1
MI,26,23,Branch County,H1
MI,26,25,Calhoun County,H1
MI,26,27,Cass County,H1
MI,26,29,Charlevoix County,H1
MI,26,31,Cheboygan County,H1
MI,26,33,Chippewa County,H1
MI,26,35,Clare County,H1
MI,26,37,Clinton County,H1
MI,26,39,Crawford County,H1
MI,26,41,Delta County,H1
MI,26,43,Dickinson County,H1
MI,26,45,Eaton County,H1
MI,26,47,Emmet County,H1
MI,26,49,Genesee County,H1
MI,26,51,Gladwin County,H1
MI,26,53,Gogebic County,H1
MI,26,55,Grand Traverse County,H1
MI,26,57,Gratiot County,H1
MI,26,59,Hillsdale County,H1
MI,26,61,Houghton County,H1
MI,26,63,Huron County,H1
MI,26,65,Ingham County,H1
MI,26,67,Ionia County,H1
MI,26,69,Iosco County,H1
MI,26,71,Iron County,H1
MI,26,73,Isabella County,H1
MI,26,75,Jackson County,H1
MI,26,77,Kalamazoo County,H1
MI,26,79,Kalkaska County,H1
MI,26,81,Kent County,H1
MI,26,83,Keweenaw County,H1
MI,26,85,Lake County,H1
MI,26,87,Lapeer County,H1
MI,26,89,Leelanau County,H1
MI,26,91,Lenawee County,H1
MI,26,93,Livingston County,H1
MI,26,95,Luce County,H1
MI,26,97,Mackinac County,H1
MI,26,99,Macomb County,H1
MI,26,101,Manistee County,H1
MI,26,103,Marquette County,H1
MI,26,105,Mason County,H1
MI,26,107,Mecosta County,H1
MI,26,109,Menominee County,H1
MI,26,111,Midland County,H1
MI,26,113,Missaukee County,H1
MI,26,115,Monroe County,H1
MI,26,117,Montcalm County,H1
MI,26,119,Montmorency County,H1
MI,26,121,Muskegon County,H1
MI,26,123,Newaygo County,H1
MI,26,125,Oakland County,H1
MI,26,127,Oceana County,H1
MI,26,129,Ogemaw County,H1
MI,26,131,Ontonagon County,H1
MI,26,133,Osceola County,H1
MI,26,135,Oscoda County,H1
MI,26,137,Otsego County,H1
MI,26,139,Ottawa County,H1
MI,26,141,Presque Isle County,H1
MI,26,143,Roscommon County,H1
MI,26,145,Saginaw County,H1
MI,26,147,St. Clair County,H1
MI,26,149,St. Joseph County,H1
MI,26,151,Sanilac County,H1
MI,26,153,Schoolcraft County,H1
MI,26,155,Shiawassee County,H1
MI,26,157,Tuscola County,H1
MI,26,159,Van Buren County,H1
MI,26,161,Washtenaw County,H1
MI,26,163,Wayne County,H1
MI,26,165,Wexford County,H1
