State,state_FIPS,county_FIPS,County,classfp
NY,36,1,Albany County,H1
NY,36,3,Allegany County,H1
NY,36,5,Bronx County,H6
NY,36,7,Broome County,H1
NY,36,9,Cattaraugus County,H1
NY,36,11,Cayuga County,H1
NY,36,13,Chautauqua County,H1
NY,36,15,Chemung County,H1
NY,36,17,Chenango County,H1
NY,36,19,Clinton County,H1
NY,36,21,Columbia County,H1
NY,36,23,Cortland County,H1
NY,36,25,Delaware County,H1
NY,36,27,Dutchess County,H1
NY,36,29,Erie County,H1
NY,36,31,Essex County,H1
NY,36,33,Franklin County,H1
NY,36,35,Fulton County,H1
NY,36,37,Genesee County,H1
NY,36,39,Greene County,H1
NY,36,41,Hamilton County,H1
NY,36,43,Herkimer County,H1
NY,36,45,Jefferson County,H1
NY,36,47,Kings County,H6
NY,36,49,Lewis County,H1
NY,36,51,Livingston County,H1
NY,36,53,Madison County,H1
NY,36,55,Monroe County,H1
NY,36,57,Montgomery County,H1
NY,36,59,Nassau County,H1
NY,36,61,New York County,H6
NY,36,63,Niagara County,H1
NY,36,65,Oneida County,H1
NY,36,67,Onondaga County,H1
NY,36,69,Ontario County,H1
NY,36,71,Orange County,H1
NY,36,73,Orleans County,H1
NY,36,75,Oswego County,H1
NY,36,77,Otsego County,H1
NY,36,79,Putnam County,H1
NY,36,81,Queens County,H6
NY,36,83,Rensselaer County,H1
NY,36,85,Richmond County,H6
NY,36,87,Rockland County,H1
NY,36,89,St. Lawrence County,H1
NY,36,91,Saratoga County,H1
NY,36,93,Schenectady County,H1
NY,36,95,Schoharie County,H1
NY,36,97,Schuyler County,H1
NY,36,99,Seneca County,H1
NY,36,101,Steuben County,H1
NY,36,103,Suffolk County,H1
NY,36,105,Sullivan County,H1
NY,36,107,Tioga County,H1
NY,36,109,Tompkins County,H1
NY,36,111,Ulster County,H1
NY,36,113,Warren County,H1
NY,36,115,Washington County,H1
NY,36,117,Wayne County,H1
NY,36,119,Westchester County,H1
NY,36,121,Wyoming County,H1
NY,36,123,Yates County,H1
